日期,开盘价,最高点,最低点,收盘价
2000/1/3,6.498,6.603,6.498,6.548
2000/1/4,6.53,6.548,6.485,6.485
2000/1/5,6.521,6.599,6.508,6.599
2000/1/6,6.558,6.585,6.54,6.549
2000/1/7,6.545,6.595,6.504,6.504
2000/1/10,6.54,6.567,6.536,6.558
2000/1/11,6.6,6.664,6.595,6.664
2000/1/12,6.659,6.696,6.645,6.696
2000/1/13,6.664,6.705,6.618,6.618
2000/1/14,6.623,6.688,6.563,6.674
2000/1/18,6.706,6.757,6.702,6.748
2000/1/19,6.725,6.73,6.707,6.725
2000/1/20,6.781,6.781,6.707,6.748
2000/1/21,6.772,6.823,6.767,6.781
2000/1/24,6.758,6.763,6.684,6.684
2000/1/25,6.675,6.708,6.657,6.684
2000/1/26,6.68,6.703,6.648,6.68
2000/1/27,6.671,6.745,6.411,6.685
2000/1/28,6.736,6.797,6.566,6.648
2000/1/31,6.709,6.709,6.598,6.667
2000/2/1,6.63,6.653,6.603,6.617
2000/2/2,6.617,6.663,6.562,6.598
2000/2/3,6.534,6.553,6.326,6.475
2000/2/4,6.435,6.535,6.412,6.517
2000/2/7,6.581,6.631,6.562,6.631
2000/2/8,6.618,6.622,6.576,6.599
2000/2/9,6.595,6.683,6.577,6.669
2000/2/10,6.552,6.664,6.552,6.656
2000/2/11,6.634,6.647,6.608,6.621
2000/2/14,6.612,6.617,6.539,6.539
2000/2/15,6.56,6.573,6.534,6.552
2000/2/16,6.565,6.569,6.547,6.547
2000/2/17,6.53,6.585,6.5,6.569
2000/2/18,6.539,6.547,6.474,6.483
2000/2/22,6.44,6.448,6.342,6.342
2000/2/23,6.393,6.427,6.367,6.427
2000/2/24,6.388,6.392,6.324,6.346
2000/2/25,6.367,6.482,6.337,6.341
2000/2/28,6.333,6.418,6.333,6.414
2000/2/29,6.418,6.448,6.405,6.409
2000/3/1,6.388,6.405,6.358,6.379
2000/3/2,6.401,6.431,6.379,6.396
2000/3/3,6.396,6.396,6.337,6.371
2000/3/6,6.405,6.426,6.4,6.409
2000/3/7,6.422,6.443,6.375,6.383
2000/3/8,6.392,6.396,6.353,6.375
2000/3/9,6.345,6.345,6.298,6.341
2000/3/10,6.362,6.387,6.362,6.387
2000/3/13,6.328,6.37,6.268,6.362
2000/3/14,6.383,6.396,6.298,6.298
2000/3/15,6.302,6.319,6.234,6.276
2000/3/16,6.272,6.276,6.234,6.238
2000/3/17,6.217,6.23,6.175,6.188
2000/3/20,6.204,6.208,6.162,6.171
2000/3/21,6.171,6.208,6.133,6.137
2000/3/22,6.108,6.133,6.099,6.12
2000/3/23,6.066,6.082,6.012,6.07
2000/3/24,6.107,6.174,6.107,6.174
2000/3/27,6.225,6.25,6.191,6.195
2000/3/28,6.208,6.212,6.149,6.17
2000/3/29,6.145,6.195,6.145,6.149
2000/3/30,6.103,6.128,5.937,6.065
2000/3/31,6.069,6.081,5.994,6.023
2000/4/3,6.002,6.027,5.986,5.986
